341,"$48,194","99361 / 1,600"
342,"$48,125","99148 / 1,999"
343,"$48,083",98943 / 827
344,"$48,036",98639 / 964
345,"$47,962","98837 / 40,917"
346,"$47,928",98824 / 453
347,"$47,851","98418 / 10,234"
348,"$47,826","98584 / 35,968"
349,"$47,788","99139 / 1,424"
350,"$47,782","99362 / 41,952"
351,"$47,500",98572 / 775
352,"$47,474","98105 / 44,981"
353,"$47,428","99349 / 8,538"
354,"$47,344","98617 / 1,090"
355,"$47,250",98575 / 153
356,"$47,216",98220 / 733
357,"$47,030","98032 / 35,935"
358,"$46,976","98826 / 6,639"
359,"$46,857","98465 / 6,544"
360,"$46,806",99158 / 710
361,"$46,750",98552 / 625
362,"$46,737","98148 / 10,207"
363,"$46,705",99330 / 806
364,"$46,583",99130 / 725
365,"$46,540","98362 / 22,558"
366,"$46,538","98568 / 2,784"
367,"$46,523","99169 / 2,780"
368,"$46,439","98408 / 18,713"
369,"$46,406",98619 / 484
370,"$46,364",98860 / 252
371,"$46,297","98903 / 15,341"
372,"$46,017","98310 / 19,542"
373,"$45,938",99121 / 160
374,"$45,804","98822 / 2,093"
375,"$45,768","99216 / 24,089"
376,"$45,707","98315 / 6,355"
377,"$45,694",98303 / 877
378,"$45,625",98527 / 204
379,"$45,568","98840 / 4,652"
380,"$45,563","98003 / 45,632"
381,"$45,544","99205 / 41,347"
382,"$45,533","98848 / 11,991"
383,"$45,417",98670 / 91
384,"$45,313","98564 / 2,395"
385,"$45,262","98541 / 10,178"
386,"$45,147","99013 / 1,811"
387,"$45,139",99167 / 659
387,"$45,139","99115 / 1,309"
389,"$45,114","98849 / 1,436"
390,"$45,076","99012 / 1,051"
391,"$45,063","98245 / 3,746"
392,"$44,930","98002 / 34,240"
393,"$44,920","99011 / 3,097"
394,"$44,911","98244 / 2,912"
395,"$44,787","98405 / 23,846"
396,"$44,777","98626 / 24,352"
397,"$44,583",99124 / 317
398,"$44,489","98624 / 1,578"
399,"$44,375",99125 / 504
400,"$44,334","98831 / 3,446"
401,"$44,243","99141 / 5,263"
402,"$44,091",98845 / 233
403,"$44,085","98368 / 14,961"
404,"$43,972","98841 / 8,803"
405,"$43,750",98526 / 277
405,"$43,750","98570 / 4,161"
407,"$43,639","99324 / 9,273"
408,"$43,476","98204 / 41,337"
409,"$43,358","99344 / 17,064"
410,"$43,333","98404 / 33,462"
411,"$43,229","98577 / 6,649"
412,"$43,214","98660 / 12,345"
413,"$43,121","98201 / 28,380"
414,"$43,117","98932 / 4,986"
415,"$42,972",98134 / 850
416,"$42,868","98858 / 2,300"
417,"$42,847","98266 / 4,043"
418,"$42,790","98520 / 23,809"
419,"$42,721","98816 / 6,986"
420,"$42,629","99170 / 1,000"
421,"$42,593",99171 / 979
422,"$42,500","98057 / 12,187"
423,"$42,404","98596 / 7,670"
424,"$42,344",99118 / 850
425,"$42,338","98930 / 16,904"
426,"$42,263","98947 / 3,036"
427,"$42,043","99336 / 49,982"
428,"$42,031",98593 / 926
429,"$41,993","99403 / 19,886"
430,"$41,964","99185 / 1,178"
431,"$41,750",99131 / 153
432,"$41,742","98857 / 3,983"
433,"$41,732","98632 / 48,647"
434,"$41,685","98569 / 5,923"
435,"$41,614","98926 / 30,624"
436,"$41,458",99103 / 478
437,"$41,381","98620 / 7,114"
438,"$41,250",98256 / 510
439,"$41,214","98631 / 3,659"
440,"$41,177","99004 / 18,234"
441,"$40,938",99117 / 498
442,"$40,921","99114 / 11,689"
443,"$40,833",99119 / 948
444,"$40,656","98188 / 24,373"
445,"$40,599","98661 / 42,480"
446,"$40,583","98812 / 4,799"
447,"$40,500",98350 / 448
448,"$40,450","99166 / 3,606"
449,"$40,357",99143 / 631
450,"$40,203","99180 / 1,030"
451,"$40,000",99335 / 245
452,"$39,911","98320 / 1,263"
453,"$39,865","99348 / 1,709"
454,"$39,821",99017 / 191
455,"$39,743","98444 / 35,392"
456,"$39,667","98610 / 2,820"
457,"$39,481","99328 / 3,753"
458,"$39,167","98605 / 1,349"
458,"$39,167","98934 / 1,019"
460,"$39,087","98241 / 2,173"
461,"$39,046","98499 / 30,237"
462,"$39,028","98855 / 6,415"
463,"$38,895","98935 / 3,305"
464,"$38,864",98590 / 432
465,"$38,814","98846 / 1,114"
466,"$38,750",98560 / 201
467,"$38,726","98550 / 11,311"
468,"$38,641",98644 / 338
469,"$38,636",99137 / 316
469,"$38,636",98614 / 198
471,"$38,542","98531 / 24,054"
472,"$38,333",98305 / 234
473,"$38,142","98902 / 46,904"
474,"$38,054","98331 / 6,243"
475,"$38,024","98951 / 13,816"
476,"$37,986","98813 / 3,189"
477,"$37,880","99001 / 6,227"
478,"$37,309","99156 / 8,256"
479,"$37,189","98225 / 47,032"
480,"$37,125",98829 / 750
481,"$37,083","98850 / 1,555"
482,"$37,059","99110 / 1,589"
483,"$36,701",98304 / 561
484,"$36,691","99101 / 1,645"
485,"$36,667",99102 / 444
485,"$36,667",99174 / 61
487,"$36,573","99357 / 4,005"
488,"$36,332",98827 / 676
489,"$36,042",98581 / 216
490,"$36,040","98944 / 22,693"
491,"$36,033",98533 / 764
492,"$35,929","98356 / 1,987"
493,"$35,893",98673 / 422
494,"$35,842","98901 / 29,800"
495,"$35,762","99173 / 1,595"
496,"$35,667","98357 / 1,631"
497,"$35,590","98439 / 5,752"
498,"$35,574","98952 / 2,293"
499,"$35,542","98844 / 4,483"
500,"$35,242","99109 / 5,120"
